Thread number, Size, Block size, Epsilon, Iteration number, Time, Boost, Maximal error, Average error
1, 10, 16, 0.100000, 61,  0.0000, -,    0.67,    0.21
1, 10, 16, 0.010000, 79,  0.0000, -,    0.07,    0.02
1, 10, 64, 0.100000, 61,  0.0000, -,    0.67,    0.21
1, 10, 64, 0.010000, 79,  0.0000, -,    0.07,    0.02
1, 10, 128, 0.100000, 61,  0.0000, -,    0.67,    0.21
1, 10, 128, 0.010000, 79,  0.0000, -,    0.07,    0.02
1, 10, 256, 0.100000, 61,  0.0000, -,    0.67,    0.21
1, 10, 256, 0.010000, 79,  0.0000, -,    0.07,    0.02
1, 60, 16, 0.100000, 1182,  0.0171, -,   35.21,   13.79
1, 60, 16, 0.010000, 1994,  0.0180, -,    3.52,    1.38
1, 60, 64, 0.100000, 1182,  0.0112, -,   35.21,   13.79
1, 60, 64, 0.010000, 1994,  0.0181, -,    3.52,    1.38
1, 60, 128, 0.100000, 1182,  0.0101, -,   35.21,   13.79
1, 60, 128, 0.010000, 1994,  0.0170, -,    3.52,    1.38
1, 60, 256, 0.100000, 1182,  0.0101, -,   35.21,   13.79
1, 60, 256, 0.010000, 1994,  0.0170, -,    3.52,    1.38
1, 100, 16, 0.100000, 2285,  0.0438, -,   98.65,   39.13
1, 100, 16, 0.010000, 4566,  0.0872, -,    9.92,    3.94
1, 100, 64, 0.100000, 2285,  0.0538, -,   98.65,   39.13
1, 100, 64, 0.010000, 4566,  0.1075, -,    9.92,    3.94
1, 100, 128, 0.100000, 2285,  0.0600, -,   98.65,   39.13
1, 100, 128, 0.010000, 4566,  0.1200, -,    9.92,    3.94
1, 100, 256, 0.100000, 2285,  0.0601, -,   98.65,   39.13
1, 100, 256, 0.010000, 4566,  0.1202, -,    9.92,    3.94
1, 500, 16, 0.100000, 6810,  3.2527, -,  943.24,  335.14
1, 500, 16, 0.010000, 35723, 17.2522, -,  236.11,   94.07
1, 500, 64, 0.100000, 6810,  4.5387, -,  943.24,  335.14
