Thread number, Size, Block size, Epsilon, Iteration number, Time, Boost, Maximal error, Average error
1, 10, 16, 0.000100, 64,  0.0000, -,    0.00,    0.00
1, 10, 16, 0.000010, 82,  0.0000, -,    0.00,    0.00
1, 10, 64, 0.000100, 64,  0.0000, -,    0.00,    0.00
1, 10, 64, 0.000010, 82,  0.0000, -,    0.00,    0.00
1, 10, 128, 0.000100, 64,  0.0000, -,    0.00,    0.00
1, 10, 128, 0.000010, 82,  0.0000, -,    0.00,    0.00
1, 10, 256, 0.000100, 64,  0.0000, -,    0.00,    0.00
1, 10, 256, 0.000010, 82,  0.0000, -,    0.00,    0.00
1, 60, 16, 0.000100, 1392,  0.0099, -,    0.04,    0.01
1, 60, 16, 0.000010, 2204,  0.0148, -,    0.00,    0.00
1, 60, 64, 0.000100, 1392,  0.0119, -,    0.04,    0.01
1, 60, 64, 0.000010, 2204,  0.0190, -,    0.00,    0.00
1, 60, 128, 0.000100, 1392,  0.0119, -,    0.04,    0.01
1, 60, 128, 0.000010, 2204,  0.0197, -,    0.00,    0.00
1, 60, 256, 0.000100, 1392,  0.0119, -,    0.04,    0.01
1, 60, 256, 0.000010, 2204,  0.0188, -,    0.00,    0.00
1, 100, 16, 0.000100, 2891,  0.0559, -,    0.10,    0.04
1, 100, 16, 0.000010, 5177,  0.0981, -,    0.01,    0.00
1, 100, 64, 0.000100, 2891,  0.0682, -,    0.10,    0.04
1, 100, 64, 0.000010, 5177,  0.1222, -,    0.01,    0.00
1, 100, 128, 0.000100, 2891,  0.0761, -,    0.10,    0.04
1, 100, 128, 0.000010, 5177,  0.1361, -,    0.01,    0.00
1, 100, 256, 0.000100, 2891,  0.0761, -,    0.10,    0.04
1, 100, 256, 0.000010, 5177,  0.1362, -,    0.01,    0.00
1, 500, 16, 0.000100, 6366,  2.9937, -,    1.31,    0.62
1, 500, 16, 0.000010, 49948, 23.5586, -,    0.25,    0.10
1, 500, 64, 0.000100, 6366,  4.2168, -,    1.31,    0.62
1, 500, 64, 0.000010, 49948, 33.0630, -,    0.25,    0.10
1, 500, 128, 0.000100, 6366,  4.5534, -,    1.31,    0.62
1, 500, 128, 0.000010, 49948, 35.6707, -,    0.25,    0.10
1, 500, 256, 0.000100, 6366,  4.7393, -,    1.31,    0.62
1, 500, 256, 0.000010, 49948, 37.1242, -,    0.25,    0.10
1, 1000, 16, 0.000100, 6513, 15.4683, -,    1.60,    0.84
1, 1000, 16, 0.000010, 63594, 150.7868, -,    0.95,    0.40
1, 1000, 64, 0.000100, 6513, 19.4026, -,    1.60,    0.84
1, 1000, 64, 0.000010, 63594, 185.9045, -,    0.95,    0.40
1, 1000, 128, 0.000100, 6513, 19.9333, -,    1.60,    0.84
1, 1000, 128, 0.000010, 63594, 194.0188, -,    0.95,    0.40
1, 1000, 256, 0.000100, 6513, 20.3044, -,    1.60,    0.84
1, 1000, 256, 0.000010, 63594, 198.2315, -,    0.95,    0.40
1, 2000, 16, 0.000100, 6573, 75.5109, -,    1.74,    0.97
1, 2000, 16, 0.000010, 64333, 750.3552, -,    1.44,    0.71
1, 2000, 64, 0.000100, 6573, 88.1053, -,    1.74,    0.97
1, 2000, 64, 0.000010, 64333, 862.9400, -,    1.44,    0.71
1, 2000, 128, 0.000100, 6573, 88.6396, -,    1.74,    0.97
1, 2000, 128, 0.000010, 64333, 863.4911, -,    1.44,    0.71
1, 2000, 256, 0.000100, 6573, 88.0763, -,    1.74,    0.97
1, 2000, 256, 0.000010, 64333, 860.5350, -,    1.44,    0.71
8, 10, 16, 0.000100, 64,  0.0004,    0.00,    0.00,    0.00
8, 10, 16, 0.000010, 82,  0.0001,    0.00,    0.00,    0.00
8, 10, 64, 0.000100, 64,  0.0001,    0.00,    0.00,    0.00
8, 10, 64, 0.000010, 82,  0.0001,    0.00,    0.00,    0.00
8, 10, 128, 0.000100, 64,  0.0001,    0.00,    0.00,    0.00
8, 10, 128, 0.000010, 82,  0.0001,    0.00,    0.00,    0.00
8, 10, 256, 0.000100, 64,  0.0001,    0.00,    0.00,    0.00
8, 10, 256, 0.000010, 82,  0.0001,    0.00,    0.00,    0.00
8, 60, 16, 0.000100, 1392,  0.0151,    0.00,    0.04,    0.01
8, 60, 16, 0.000010, 2204,  0.0252,    0.00,    0.00,    0.00
8, 60, 64, 0.000100, 1392,  0.0128,    0.00,    0.04,    0.01
8, 60, 64, 0.000010, 2204,  0.0202,    0.00,    0.00,    0.00
8, 60, 128, 0.000100, 1392,  0.0128,    0.00,    0.04,    0.01
8, 60, 128, 0.000010, 2204,  0.0202,    0.00,    0.00,    0.00
8, 60, 256, 0.000100, 1392,  0.0128,    0.00,    0.04,    0.01
8, 60, 256, 0.000010, 2204,  0.0202,    0.00,    0.00,    0.00
8, 100, 16, 0.000100, 2891,  0.0715,    0.00,    0.10,    0.04
8, 100, 16, 0.000010, 5177,  0.1275,    0.00,    0.01,    0.00
8, 100, 64, 0.000100, 2891,  0.0682,    0.00,    0.10,    0.04
8, 100, 64, 0.000010, 5177,  0.1222,    0.00,    0.01,    0.00
8, 100, 128, 0.000100, 2891,  0.0779,    0.00,    0.10,    0.04
8, 100, 128, 0.000010, 5177,  0.1394,    0.00,    0.01,    0.00
